"customerid","country","recency","frequency","monetary","r_score","f_score","m_score","rfm_score","segment"
"17675","United Kingdom","1","31","20374.28",1,1,1,"111","Sleeping"
"16358","United Kingdom","1","4","2027.50",1,2,2,"122","Sleeping"
"13269","United Kingdom","1","15","5346.23",1,1,1,"111","Sleeping"
"17364","United Kingdom","1","11","4481.18",1,1,1,"111","Sleeping"
"17757","United Kingdom","1","30","5605.29",1,1,1,"111","Sleeping"
"16446","United Kingdom","1","2","168472.50",1,3,1,"131","Others"
"14653","United Kingdom","1","7","1947.55",1,1,2,"112","Sleeping"
"13404","United Kingdom","1","2","252.49",1,4,4,"144","At Risk"
"15311","United Kingdom","1","91","60767.90",1,1,1,"111","Sleeping"
"16954","United Kingdom","1","9","2085.08",1,1,1,"111","Sleeping"
"13098","United Kingdom","1","28","28882.44",1,1,1,"111","Sleeping"
"13890","United Kingdom","1","10","1883.81",1,1,2,"112","Sleeping"
"12433","Norway","1","7","13375.87",1,1,1,"111","Sleeping"
"17428","United Kingdom","1","28","17256.85",1,1,1,"111","Sleeping"
"17449","United Kingdom","2","7","2520.86",1,1,1,"111","Sleeping"
"14189","United Kingdom","2","15","4654.08",1,1,1,"111","Sleeping"
"16523","United Kingdom","2","21","9418.47",1,1,1,"111","Sleeping"
"15298","United Kingdom","2","12","4799.90",1,1,1,"111","Sleeping"
"17830","United Kingdom","2","3","398.70",1,3,4,"134","Big Spenders"
"13954","United Kingdom","2","2","439.92",1,3,4,"134","Big Spenders"
"14204","United Kingdom","2","1","161.03",1,5,5,"155","At Risk"
"16442","United Kingdom","2","3","616.79",1,3,3,"133","At Risk"
"15877","United Kingdom","2","2","493.28",1,3,3,"133","At Risk"
"12569","Germany","2","32","4124.69",1,1,1,"111","Sleeping"
"13436","United Kingdom","2","1","196.89",1,5,5,"155","At Risk"
"15159","United Kingdom","2","30","18641.01",1,1,1,"111","Sleeping"
"15237","United Kingdom","2","4","1412.32",1,2,2,"122","Sleeping"
"13756","United Kingdom","2","14","5189.52",1,1,1,"111","Sleeping"
"13767","United Kingdom","2","37","17220.36",1,1,1,"111","Sleeping"
"15443","United Kingdom","2","7","3236.91",1,1,1,"111","Sleeping"
"14291","United Kingdom","2","11","3883.25",1,1,1,"111","Sleeping"
"17631","United Kingdom","2","3","528.33",1,3,3,"133","At Risk"
"13394","United Kingdom","2","8","2520.02",1,1,1,"111","Sleeping"
"18210","United Kingdom","2","6","2621.38",1,1,1,"111","Sleeping"
"17522","United Kingdom","2","5","1070.71",1,2,2,"122","Sleeping"
"14217","United Kingdom","2","17","2004.98",1,1,2,"112","Sleeping"
"16672","United Kingdom","2","20","8134.94",1,1,1,"111","Sleeping"
"14646","Netherlands","2","74","280206.02",1,1,1,"111","Sleeping"
"14719","United Kingdom","2","5","1602.13",1,2,2,"122","Sleeping"
"17097","Spain","2","8","954.42",1,1,2,"112","Sleeping"
"12615","France","2","4","2291.19",1,2,1,"121","Sleeping"
"12347","Iceland","2","7","4310.00",1,1,1,"111","Sleeping"
"12621","Germany","2","20","13689.67",1,1,1,"111","Sleeping"
"13408","United Kingdom","2","62","28117.04",1,1,1,"111","Sleeping"
"15214","United Kingdom","2","8","1661.44",1,1,2,"112","Sleeping"
"13870","United Kingdom","2","8","2770.94",1,1,1,"111","Sleeping"
"17315","United Kingdom","2","38","6292.26",1,1,1,"111","Sleeping"
"12950","United Kingdom","2","3","1843.00",1,2,2,"122","Sleeping"
"14520","United Kingdom","2","2","270.60",1,4,4,"144","At Risk"
"12471","Germany","2","30","19824.05",1,1,1,"111","Sleeping"
"16161","United Kingdom","2","19","5575.56",1,1,1,"111","Sleeping"
"16525","United Kingdom","2","26","13027.45",1,1,1,"111","Sleeping"
"14191","United Kingdom","2","13","4684.76",1,1,1,"111","Sleeping"
"17434","United Kingdom","2","7","2373.82",1,1,1,"111","Sleeping"
"14698","United Kingdom","2","5","1250.76",1,2,2,"122","Sleeping"
"18109","United Kingdom","2","26","8052.97",1,1,1,"111","Sleeping"
"12783","Portugal","2","6","2225.91",1,1,1,"111","Sleeping"
"17735","United Kingdom","2","19","13110.02",1,1,1,"111","Sleeping"
"12935","United Kingdom","2","7","2160.70",1,1,1,"111","Sleeping"
"17841","United Kingdom","2","124","40991.57",1,1,1,"111","Sleeping"
"15453","United Kingdom","2","7","1388.37",1,1,2,"112","Sleeping"
"16393","United Kingdom","2","13","3046.21",1,1,1,"111","Sleeping"
"18273","United Kingdom","2","3","204.00",1,2,5,"125","Big Spenders"
"14395","United Kingdom","2","9","3507.71",1,1,1,"111","Sleeping"
"15471","United Kingdom","2","1","469.48",1,5,4,"154","At Risk"
"17590","United Kingdom","2","3","1479.22",1,3,2,"132","Others"
"15520","United Kingdom","2","1","343.50",1,4,4,"144","At Risk"
"14135","United Kingdom","2","15","4690.31",1,1,1,"111","Sleeping"
"15701","United Kingdom","2","4","1542.14",1,2,2,"122","Sleeping"
"14138","United Kingdom","2","2","982.38",1,3,2,"132","Others"
"17870","United Kingdom","2","12","1894.35",1,1,2,"112","Sleeping"
"13468","United Kingdom","2","37","5704.97",1,1,1,"111","Sleeping"
"16368","United Kingdom","2","2","497.43",1,3,3,"133","At Risk"
"17436","United Kingdom","2","2","216.30",1,4,5,"145","At Risk"
"13924","United Kingdom","2","6","1838.85",1,1,2,"112","Sleeping"
"18092","United Kingdom","2","11","9068.26",1,1,1,"111","Sleeping"
"14032","United Kingdom","2","11","2975.59",1,1,1,"111","Sleeping"
"12358","Austria","2","2","1168.06",1,3,2,"132","Others"
"17266","United Kingdom","2","3","310.64",1,3,4,"134","Big Spenders"
"12437","France","2","18","4951.41",1,1,1,"111","Sleeping"
"17856","United Kingdom","2","4","1418.03",1,2,2,"122","Sleeping"
"13534","United Kingdom","2","25","5870.08",1,1,1,"111","Sleeping"
"16891","United Kingdom","2","5","809.70",1,2,3,"123","Others"
"17677","United Kingdom","2","30","16363.23",1,1,1,"111","Sleeping"
"13769","United Kingdom","2","10","2796.51",1,1,1,"111","Sleeping"
"16426","United Kingdom","2","10","1908.25",1,1,2,"112","Sleeping"
"17602","United Kingdom","2","6","5102.97",1,1,1,"111","Sleeping"
"14085","United Kingdom","2","18","4448.54",1,1,1,"111","Sleeping"
"15525","United Kingdom","2","3","825.92",1,3,3,"133","At Risk"
"14904","United Kingdom","2","2","1025.44",1,3,2,"132","Others"
"15187","United Kingdom","2","16","4777.18",1,1,1,"111","Sleeping"
"12747","United Kingdom","2","11","4196.01",1,1,1,"111","Sleeping"
"16779","United Kingdom","2","22","10629.72",1,1,1,"111","Sleeping"
"17673","United Kingdom","2","6","1629.12",1,1,2,"112","Sleeping"
"14132","United Kingdom","2","11","3586.03",1,1,1,"111","Sleeping"
"13314","United Kingdom","2","3","775.94",1,3,3,"133","At Risk"
"16210","United Kingdom","2","18","21086.30",1,1,1,"111","Sleeping"
"15883","United Kingdom","2","2","396.48",1,3,4,"134","Big Spenders"
"14129","United Kingdom","2","5","1123.86",1,2,2,"122","Sleeping"
"14251","United Kingdom","2","5","2879.70",1,2,1,"121","Sleeping"
"14282","United Kingdom","3","15","3729.34",1,1,1,"111","Sleeping"
"16016","United Kingdom","3","8","1508.76",1,1,2,"112","Sleeping"
"17861","United Kingdom","3","8","2100.80",1,1,1,"111","Sleeping"
"14527","United Kingdom","3","55","8508.82",1,1,1,"111","Sleeping"
"16201","United Kingdom","3","4","1863.47",1,2,2,"122","Sleeping"
"17049","United Kingdom","3","9","5659.98",1,1,1,"111","Sleeping"
"15984","United Kingdom","3","10","2837.67",1,1,1,"111","Sleeping"
"17705","United Kingdom","3","9","1823.52",1,1,2,"112","Sleeping"
"16817","United Kingdom","3","9","1604.75",1,1,2,"112","Sleeping"
"14216","United Kingdom","3","4","1839.30",1,2,2,"122","Sleeping"
"17119","United Kingdom","3","2","606.91",1,3,3,"133","At Risk"
"12417","Spain","3","9","3649.10",1,1,1,"111","Sleeping"
"17091","United Kingdom","3","9","3827.76",1,1,1,"111","Sleeping"
"15822","United Kingdom","3","2","885.47",1,3,3,"133","At Risk"
"17511","United Kingdom","3","31","91062.38",1,1,1,"111","Sleeping"
"13104","United Kingdom","3","6","1098.48",1,1,2,"112","Sleeping"
"14578","United Kingdom","3","1","168.63",1,5,5,"155","At Risk"
"15498","United Kingdom","3","27","13316.40",1,1,1,"111","Sleeping"
"13078","United Kingdom","3","26","12627.94",1,1,1,"111","Sleeping"
"18237","United Kingdom","3","5","987.10",1,2,2,"122","Sleeping"
"12720","Germany","3","25","5781.73",1,1,1,"111","Sleeping"
"13668","United Kingdom","3","21","6363.59",1,1,1,"111","Sleeping"
"12442","Spain","3","1","172.06",1,5,5,"155","At Risk"
"12912","United Kingdom","3","5","1662.30",1,2,2,"122","Sleeping"
"17017","United Kingdom","3","20","8694.26",1,1,1,"111","Sleeping"
"15969","United Kingdom","3","3","666.10",1,3,3,"133","At Risk"
"14708","United Kingdom","3","3","1126.37",1,2,2,"122","Sleeping"
"13267","United Kingdom","3","19","4521.49",1,1,1,"111","Sleeping"
"14397","United Kingdom","3","19","2612.96",1,1,1,"111","Sleeping"
"18154","United Kingdom","3","2","399.19",1,3,4,"134","Big Spenders"
"16143","United Kingdom","3","6","2424.94",1,1,1,"111","Sleeping"
"16458","United Kingdom","3","18","3482.74",1,1,1,"111","Sleeping"
"13882","United Kingdom","3","5","1191.13",1,2,2,"122","Sleeping"
"13949","United Kingdom","3","6","2427.32",1,1,1,"111","Sleeping"
"14534","United Kingdom","3","18","4447.05",1,1,1,"111","Sleeping"
"17042","United Kingdom","3","5","1044.38",1,2,2,"122","Sleeping"
"17238","United Kingdom","3","17","3744.65",1,1,1,"111","Sleeping"
"14910","United Kingdom","3","4","434.35",1,2,4,"124","Big Spenders"
"12828","United Kingdom","3","6","1018.71",1,1,2,"112","Sleeping"
"17835","United Kingdom","3","3","350.64",1,2,4,"124","Big Spenders"
"17232","United Kingdom","3","2","421.52",1,3,4,"134","Big Spenders"
"16495","United Kingdom","3","3","684.41",1,3,3,"133","At Risk"
"15194","United Kingdom","3","15","7616.53",1,1,1,"111","Sleeping"
"18272","United Kingdom","3","6","3078.58",1,1,1,"111","Sleeping"
"16711","United Kingdom","3","5","1651.03",1,2,2,"122","Sleeping"
"14087","United Kingdom","3","1","194.42",1,5,5,"155","At Risk"
"12583","France","3","15","7281.38",1,1,1,"111","Sleeping"
"12989","United Kingdom","3","15","6924.11",1,1,1,"111","Sleeping"
"14673","United Kingdom","3","5","1736.40",1,2,2,"122","Sleeping"
"14503","United Kingdom","3","6","3543.26",1,2,1,"121","Sleeping"
"16313","United Kingdom","3","2","274.15",1,4,4,"144","At Risk"
"12839","United Kingdom","3","14","5591.42",1,1,1,"111","Sleeping"
"16987","United Kingdom","3","7","1625.05",1,1,2,"112","Sleeping"
"14572","United Kingdom","3","7","2832.84",1,1,1,"111","Sleeping"
"14141","United Kingdom","3","4","915.13",1,2,3,"123","Others"
"17730","United Kingdom","3","13","5298.48",1,1,1,"111","Sleeping"
"15568","United Kingdom","3","3","758.29",1,2,3,"123","Others"
"12820","United Kingdom","3","4","942.34",1,2,2,"122","Sleeping"
"14907","United Kingdom","3","7","3501.10",1,1,1,"111","Sleeping"
"16191","United Kingdom","3","13","5180.52",1,1,1,"111","Sleeping"
"18225","United Kingdom","3","12","5509.12",1,1,1,"111","Sleeping"
"16000","United Kingdom","3","3","12393.70",1,3,1,"131","Others"
"16678","United Kingdom","3","12","3109.99",1,1,1,"111","Sleeping"
"13089","United Kingdom","3","97","58825.83",1,1,1,"111","Sleeping"
"17883","United Kingdom","3","4","671.77",1,2,3,"123","Others"
"14293","United Kingdom","3","4","1046.56",1,2,2,"122","Sleeping"
"16271","United Kingdom","3","5","1429.24",1,2,2,"122","Sleeping"
"16569","United Kingdom","3","1","124.20",1,4,5,"145","At Risk"
"12650","France","3","1","314.44",1,4,4,"144","At Risk"
"14871","United Kingdom","3","4","522.38",1,2,3,"123","Others"
"13685","United Kingdom","3","7","3119.44",1,1,1,"111","Sleeping"
"13743","United Kingdom","3","7","1341.60",1,1,2,"112","Sleeping"
"14794","United Kingdom","3","7","1319.91",1,1,2,"112","Sleeping"
"17412","United Kingdom","3","7","1258.06",1,1,2,"112","Sleeping"
"12826","United Kingdom","3","7","1474.72",1,1,2,"112","Sleeping"
"13225","United Kingdom","3","7","6463.84",1,1,1,"111","Sleeping"
"15023","United Kingdom","3","11","6802.76",1,1,1,"111","Sleeping"
"15136","United Kingdom","3","4","1286.70",1,2,2,"122","Sleeping"
"13507","United Kingdom","3","4","2479.16",1,2,1,"121","Sleeping"
"13323","United Kingdom","3","5","787.85",1,2,3,"123","Others"
"14868","United Kingdom","3","8","2953.59",1,1,1,"111","Sleeping"
"12362","Belgium","3","10","5226.23",1,1,1,"111","Sleeping"
"17503","United Kingdom","3","2","558.96",1,3,3,"133","At Risk"
"15750","United Kingdom","3","8","2465.48",1,1,1,"111","Sleeping"
"16539","United Kingdom","3","4","1388.81",1,2,2,"122","Sleeping"
"16076","United Kingdom","3","10","2234.73",1,1,1,"111","Sleeping"
"15195","United Kingdom","3","1","3861.00",1,5,1,"151","Others"
"18219","United Kingdom","3","10","2069.77",1,1,1,"111","Sleeping"
"14769","United Kingdom","3","8","10674.75",1,1,1,"111","Sleeping"
"14113","United Kingdom","4","4","1840.42",1,2,2,"122","Sleeping"
"15157","United Kingdom","4","3","1936.07",1,2,2,"122","Sleeping"
"15318","United Kingdom","4","1","312.62",1,4,4,"144","At Risk"
"14825","United Kingdom","4","12","2226.91",1,1,1,"111","Sleeping"
"14608","United Kingdom","4","4","1785.15",1,2,2,"122","Sleeping"
"13230","United Kingdom","4","14","2806.97",1,1,1,"111","Sleeping"
"17090","United Kingdom","4","7","2043.95",1,1,2,"112","Sleeping"
"13021","United Kingdom","4","9","2616.38",1,1,1,"111","Sleeping"
"16620","United Kingdom","4","2","178.96",1,4,5,"145","At Risk"
"13985","United Kingdom","4","15","7060.13",1,1,1,"111","Sleeping"
"15640","United Kingdom","4","15","12515.66",1,1,1,"111","Sleeping"
"17346","United Kingdom","4","15","2676.56",1,1,1,"111","Sleeping"
"12683","France","4","15","8476.57",1,1,1,"111","Sleeping"
"15097","United Kingdom","4","1","248.08",1,5,5,"155","At Risk"
"12877","United Kingdom","4","12","1535.77",1,1,2,"112","Sleeping"
"12478","Greece","4","1","680.99",1,5,3,"153","At Risk"
"14110","United Kingdom","4","12","5683.15",1,1,1,"111","Sleeping"
"14629","United Kingdom","4","2","959.01",1,3,2,"132","Others"
"16600","United Kingdom","4","6","813.52",1,1,3,"113","Others"
"16968","United Kingdom","4","2","439.43",1,3,4,"134","Big Spenders"
"17404","Sweden","4","15","31906.82",1,1,1,"111","Sleeping"
"16597","United Kingdom","4","1","90.04",1,4,5,"145","At Risk"
"18005","United Kingdom","4","2","249.72",1,4,5,"145","At Risk"
"14219","United Kingdom","4","1","89.94",1,4,5,"145","At Risk"
"15145","United Kingdom","4","4","1194.73",1,2,2,"122","Sleeping"
"12971","United Kingdom","4","86","11189.91",1,1,1,"111","Sleeping"
"16592","United Kingdom","4","16","4113.68",1,1,1,"111","Sleeping"
"16379","United Kingdom","4","4","2157.40",1,2,1,"121","Sleeping"
"16949","United Kingdom","4","6","1286.27",1,1,2,"112","Sleeping"
"18283","United Kingdom","4","16","2094.88",1,1,1,"111","Sleeping"
"16904","United Kingdom","4","16","3754.27",1,1,1,"111","Sleeping"
"14140","United Kingdom","4","2","935.05",1,3,3,"133","At Risk"
"13311","United Kingdom","4","2","598.57",1,3,3,"133","At Risk"
"12716","France","4","2","1053.49",1,3,2,"132","Others"
"12628","Germany","4","3","786.46",1,3,3,"133","At Risk"
"17481","United Kingdom","4","4","1255.59",1,2,2,"122","Sleeping"
"15274","United Kingdom","4","2","716.57",1,3,3,"133","At Risk"
"15550","United Kingdom","4","4","575.63",1,2,3,"123","Others"
"14096","United Kingdom","4","17","65164.79",1,1,1,"111","Sleeping"
"15907","United Kingdom","4","3","967.45",1,2,2,"122","Sleeping"
"17920","United Kingdom","4","17","4204.10",1,1,1,"111","Sleeping"
"13173","United Kingdom","4","2","353.65",1,4,4,"144","At Risk"
"16929","United Kingdom","4","7","1295.39",1,1,2,"112","Sleeping"
"17706","United Kingdom","4","17","10504.49",1,1,1,"111","Sleeping"
"13083","United Kingdom","4","2","303.75",1,4,4,"144","At Risk"
"18198","United Kingdom","4","17","5425.56",1,1,1,"111","Sleeping"
"16200","United Kingdom","4","2","1080.62",1,3,2,"132","Others"
"12584","Italy","4","9","2338.15",1,1,1,"111","Sleeping"
"14562","United Kingdom","4","18","5074.77",1,1,1,"111","Sleeping"
"15932","United Kingdom","4","8","2495.87",1,1,1,"111","Sleeping"
"13199","United Kingdom","4","38","9817.12",1,1,1,"111","Sleeping"
"15061","United Kingdom","4","48","54534.14",1,1,1,"111","Sleeping"
"17914","United Kingdom","4","1","336.43",1,4,4,"144","At Risk"
"15621","United Kingdom","4","4","1293.03",1,2,2,"122","Sleeping"
"14071","United Kingdom","4","8","1438.82",1,1,2,"112","Sleeping"
"15690","United Kingdom","4","2","239.76",1,4,5,"145","At Risk"
"12994","United Kingdom","4","3","974.42",1,2,2,"122","Sleeping"
"17744","United Kingdom","4","6","2322.40",1,1,1,"111","Sleeping"
"17290","United Kingdom","4","2","525.24",1,3,3,"133","At Risk"
"13994","United Kingdom","4","6","2313.14",1,1,1,"111","Sleeping"
"17676","United Kingdom","4","6","1387.68",1,1,2,"112","Sleeping"
"13881","United Kingdom","4","20","17159.52",1,1,1,"111","Sleeping"
"14121","United Kingdom","4","4","2780.15",1,2,1,"121","Sleeping"
"14547","United Kingdom","4","8","4007.54",1,1,1,"111","Sleeping"
"15992","United Kingdom","4","1","41.99",1,5,5,"155","At Risk"
"17811","United Kingdom","4","39","7837.73",1,1,1,"111","Sleeping"
"18030","United Kingdom","4","2","230.65",1,4,5,"145","At Risk"
"12723","France","4","5","725.07",1,2,3,"123","Others"
"17857","United Kingdom","4","23","26879.04",1,1,1,"111","Sleeping"
"16353","United Kingdom","4","23","6675.71",1,1,1,"111","Sleeping"
"16979","United Kingdom","4","6","1852.00",1,1,2,"112","Sleeping"
"13079","United Kingdom","4","5","220.10",1,2,5,"125","Big Spenders"
"18044","United Kingdom","4","10","2088.60",1,1,1,"111","Sleeping"
"16528","United Kingdom","4","1","244.41",1,5,5,"155","At Risk"
"16790","United Kingdom","4","6","1545.62",1,1,2,"112","Sleeping"
"12367","Denmark","4","1","168.90",1,5,5,"155","At Risk"
"17593","United Kingdom","4","5","3927.34",1,2,1,"121","Sleeping"
"16910","United Kingdom","4","8","1510.06",1,1,2,"112","Sleeping"
"16851","United Kingdom","4","3","342.45",1,2,4,"124","Big Spenders"
"13305","United Kingdom","4","10","2000.86",1,1,2,"112","Sleeping"
"15856","United Kingdom","4","27","16387.57",1,1,1,"111","Sleeping"
"16684","United Kingdom","4","28","66653.56",1,1,1,"111","Sleeping"
"14739","United Kingdom","4","7","3902.28",1,1,1,"111","Sleeping"
"17218","United Kingdom","4","10","1960.72",1,1,2,"112","Sleeping"
"17250","United Kingdom","4","2","384.52",1,3,4,"134","Big Spenders"
"13709","United Kingdom","4","13","6328.05",1,1,1,"111","Sleeping"
"17884","United Kingdom","4","4","717.45",1,2,3,"123","Others"
"17383","United Kingdom","4","1","199.29",1,5,5,"155","At Risk"
"13790","United Kingdom","4","1","348.80",1,4,4,"144","At Risk"
"14401","United Kingdom","4","13","4051.48",1,1,1,"111","Sleeping"
"12682","France","4","31","12288.22",1,1,1,"111","Sleeping"
"13001","United Kingdom","4","13","9818.82",1,1,1,"111","Sleeping"
"14735","United Kingdom","4","32","6065.69",1,1,1,"111","Sleeping"
"16133","United Kingdom","4","33","14589.04",1,1,1,"111","Sleeping"
"18015","United Kingdom","4","1","120.03",1,4,5,"145","At Risk"
"16764","United Kingdom","4","13","2799.25",1,1,1,"111","Sleeping"
"12766","Portugal","4","7","6989.63",1,1,1,"111","Sleeping"
"16013","United Kingdom","4","47","37130.60",1,1,1,"111","Sleeping"
"16015","United Kingdom","4","3","705.39",1,2,3,"123","Others"
"13755","United Kingdom","4","9","2161.35",1,1,1,"111","Sleeping"
"14418","United Kingdom","4","3","1937.25",1,2,2,"122","Sleeping"
"17728","United Kingdom","4","3","2876.01",1,2,1,"121","Sleeping"
"15031","United Kingdom","4","4","668.14",1,2,3,"123","Others"
"17666","United Kingdom","4","2","728.16",1,3,3,"133","At Risk"
"17817","United Kingdom","4","3","387.68",1,2,4,"124","Big Spenders"
"13694","United Kingdom","4","50","65039.62",1,1,1,"111","Sleeping"
"12749","United Kingdom","4","5","4090.88",1,2,1,"121","Sleeping"
"15854","United Kingdom","4","12","2974.65",1,1,1,"111","Sleeping"
"14737","United Kingdom","4","3","1164.55",1,3,2,"132","Others"
"14083","United Kingdom","4","9","1018.43",1,1,2,"112","Sleeping"
"14696","United Kingdom","4","7","2078.95",1,1,1,"111","Sleeping"
"17402","United Kingdom","5","13","2633.85",1,1,1,"111","Sleeping"
"12913","United Kingdom","5","5","2483.63",1,2,1,"121","Sleeping"
"17579","United Kingdom","5","3","448.90",1,3,4,"134","Big Spenders"
"13956","United Kingdom","5","5","1026.42",1,2,2,"122","Sleeping"
"14931","Channel Islands","5","5","1257.68",1,2,2,"122","Sleeping"
"17827","United Kingdom","5","5","1995.46",1,2,2,"122","Sleeping"
"16682","United Kingdom","5","5","1028.00",1,2,2,"122","Sleeping"
"14546","United Kingdom","5","5","2578.09",1,2,1,"121","Sleeping"
"13319","United Kingdom","5","26","10845.55",1,1,1,"111","Sleeping"
"12841","United Kingdom","5","25","4022.35",1,1,1,"111","Sleeping"
"15358","United Kingdom","5","22","8347.20",1,1,1,"111","Sleeping"
"16931","United Kingdom","5","21","4604.22",1,1,1,"111","Sleeping"
"14194","United Kingdom","5","21","11349.52",1,1,1,"111","Sleeping"
"17006","United Kingdom","5","4","781.78",1,2,3,"123","Others"
"14060","United Kingdom","5","19","6140.42",1,1,1,"111","Sleeping"
"16746","United Kingdom","5","18","6697.66",1,1,1,"111","Sleeping"
"15290","United Kingdom","5","18","7943.22",1,1,1,"111","Sleeping"
